Source,Person,Role,Notable Accomplishments & Background,LinkedIn,Homepage,Publications,GitHub,X/Twitter,Other Links
Robotics/AI Startup Pitch Deck,Zhou Xian,CEO,"led the Genesis embodied AI research initiative, PhD CMU Robotics, creator of RoboGen leading 50+ researchers from 18 labs",,,https://scholar.google.com/citations?user=Kbi2t9sAAAAJ&hl=en,https://github.com/zhouxian,,https://www.zhou-xian.com/
Robotics/AI Startup Pitch Deck,Theophile Gervet,Co-founder,"led Mistral's first multimodal model (Pixtral 12B), founding researcher at Skild AI, PhD CMU Machine Learning",https://www.linkedin.com/in/theophile-gervet/,https://theophilegervet.github.io/,https://scholar.google.com/citations?user=-o8kQPwAAAAJ&hl=en,,https://x.com/theo_gervet,
Robotics/AI Startup Pitch Deck,Daniela Rus,Academic Advisor,"Director MIT CSAIL, MacArthur Fellow, co-founder of Liquid AI, Andrew and Erna Viterbi Professor",,https://danielarus.csail.mit.edu/,https://scholar.google.com/citations?user=910z20QAAAAJ&hl=en,,,https://www.liquid.ai/team/daniela-l-rus
Robotics/AI Startup Pitch Deck,Vladlen Koltun,Academic Advisor,"Distinguished Scientist at Apple, former Chief Scientist at Intel, led CARLA/Open3D/OpenBot projects",https://www.linkedin.com/in/vladlenkoltun/,https://vladlen.info/,https://scholar.google.com/citations?user=kg4bCpgAAAAJ&hl=en,,,
Robotics/AI Startup Pitch Deck,Katerina Fragkiadaki,Academic Advisor,"Associate Professor CMU Machine Learning, ICLR 2024 Program Chair, NSF CAREER/AFOSR/DARPA Young Investigator awards",https://www.linkedin.com/in/katerina-fragkiadaki-9790a029/,https://www.cs.cmu.edu/~katef/,https://scholar.google.com/citations?user=FWp7728AAAAJ&hl=en,,,
Robotics/AI Startup Pitch Deck,Eric Schmidt,Strategic Advisor,"Former CEO Google and Alphabet, Founding Partner Innovation Endeavors, former Chairman DoD Innovation Board",https://www.linkedin.com/in/eric-e-schmidt/,https://ericschmidt.com/bio/,,,https://x.com/ericschmidt,https://www.innovationendeavors.com/team/eric-schmidt
Robotics/AI Startup Pitch Deck,Johnson Wang (Tsun-Hsuan),Researcher - Foundation Model Training,"PhD MIT CSAIL advised by Daniela Rus, part-time researcher at Liquid AI, MathWorks Fellowship",,https://zswang666.github.io/,https://scholar.google.com/citations?user=Kbi2t9sAAAAJ&hl=en,https://github.com/zswang666,,
Robotics/AI Startup Pitch Deck,Antoine d'Andigne,Researcher - Foundation Model Training,"Senior ML Engineer at PhotoRoom, researcher at H Company, Master from Ecole Polytechnique, experience at Descript",https://www.linkedin.com/in/antoine-d-andign%C3%A9-29830b149/,,,,,
Robotics/AI Startup Pitch Deck,Charles Masson,Researcher - Foundation Model Training,"Researcher at H Company, former Staff Engineer at Datadog, Master from MINES ParisTech, expert in statistical algorithms",https://www.linkedin.com/in/charlesmasson/,,https://scholar.google.com/citations?user=8gpeUjIAAAAJ&hl=en,https://github.com/CharlesMasson,,
Robotics/AI Startup Pitch Deck,Minchen Li,Researcher - Simulation Infra & Data,"Assistant Professor CMU Computer Science, SIGGRAPH Outstanding Doctoral Dissertation Award, author of Physics-Based Simulation book",,https://www.cs.cmu.edu/~minchenl/,https://scholar.google.com/citations?user=1_LJ4tYAAAAJ&hl=en,,,https://phys-sim-book.github.io/
Robotics/AI Startup Pitch Deck,Hongyi Yu,Researcher - Simulation Infra & Data,"Principal Engineer at Roblox, graphics engineer experience at Epic Games/Activision/Unity",https://www.linkedin.com/in/hongyiyu/,,,,,
Robotics/AI Startup Pitch Deck,Anis Benyoub,Researcher - Simulation Infra & Data,"Graphics Research Engineer at Intel, former Senior Graphics Engineer at Unity on HDRP, expert in real-time ray tracing",https://fr.linkedin.com/in/anis-benyoub-320b4b44,,https://scholar.google.com/citations?user=aZQKcHAAAAAJ&hl=en,https://github.com/AnisB,https://twitter.com/Auzaiffe,https://www.intel.com/content/www/us/en/developer/articles/community/gpu-researchers-anis-benyoub.html
Robotics/AI Startup Pitch Deck,Zhenjia Xu,Researcher - Real Robot Infra & Data,"Senior Research Scientist NVIDIA GEAR, PhD Columbia advised by Shuran Song, expert in robotic manipulation",https://www.linkedin.com/in/zhenjia-xu/,https://www.zhenjiaxu.com/,https://scholar.google.com/citations?user=QE8cLMEAAAAJ&hl=en,,,https://research.nvidia.com/person/zhenjia-xu
Robotics/AI Startup Pitch Deck,Alexis Duburcq,Researcher - Real Robot Infra & Data,"PhD Dauphine-PSL on exoskeleton locomotion, Robotics Engineer at Wandercraft on Atalante exoskeleton for paraplegics",https://www.linkedin.com/in/alexisduburcq/,,https://scholar.google.com/citations?user=3TjQ8yEAAAAJ&hl=en,,,https://www.lamsade.dauphine.fr/~ychevaleyre/
Robotics/AI Startup Pitch Deck,Yunlong Song,Researcher - Real Robot Infra & Data,"Research Scientist at Skild AI, PhD UZH/ETH with Davide Scaramuzza, pioneer in SimReal drone racing achieving superhuman performance",https://www.linkedin.com/in/yunlong-song/,https://yunlong-song.com/,https://scholar.google.com/citations?user=EzAXL9QAAAAJ&hl=en,,https://twitter.com/realyunlong,
Robotics/AI Startup Pitch Deck,Loik Le Devehat,Researcher - Real Robot Infra & Data,"Robot Software Engineer at Enchanted Tools, Telecom Paris graduate, embedded software experience at Wandercraft and Parrot",https://www.linkedin.com/in/loik-le-devehat/,,,,,
Robotics/AI Startup Pitch Deck,Yiling Qiao (Yi-Ling),Researcher - Simulation Infra & Data,"PhD UMD Computer Science, Meta PhD Fellowship winner, Larry S. Davis Dissertation Award, expert in differentiable simulation",,https://ylqiao.net/,,,
